"filename", "language", "Markdown", "Lua", "JSON", "comment", "blank", "total"
"d:\Projects\Lua\LeonCore\LeonCore\data\computercraft\lua\rom\modules\main\cc\pretty.lua", "Lua", 0, 345, 0, 101, 78, 524
"d:\Projects\Lua\LeonCore\LeonCore\data\computercraft\lua\rom\modules\main\cc\shell\completion.lua", "Lua", 0, 87, 0, 2, 25, 114
"d:\Projects\Lua\LeonCore\LeonCore\data\computercraft\lua\rom\modules\main\cc\strings.lua", "Lua", 0, 99, 0, 1, 34, 134
"d:\Projects\Lua\LeonCore\LeonCore\data\computercraft\lua\rom\modules\main\edit\syntax.lua", "Lua", 0, 135, 0, 40, 24, 199
"d:\Projects\Lua\LeonCore\LeonCore\data\computercraft\lua\rom\modules\main\edit\syntax\lua.lua", "Lua", 0, 149, 0, 0, 4, 153
"d:\Projects\Lua\LeonCore\LeonCore\data\computercraft\lua\rom\modules\main\rc\copy.lua", "Lua", 0, 28, 0, 2, 7, 37
"d:\Projects\Lua\LeonCore\LeonCore\data\computercraft\lua\rom\modules\main\rc\io.lua", "Lua", 0, 186, 0, 2, 44, 232
"d:\Projects\Lua\LeonCore\LeonCore\data\computercraft\lua\rom\modules\main\rc\json.lua", "Lua", 0, 280, 0, 45, 64, 389
"d:\Projects\Lua\LeonCore\LeonCore\data\computercraft\lua\rom\modules\main\rc\thread.lua", "Lua", 0, 309, 0, 6, 87, 402
"d:\Projects\Lua\LeonCore\LeonCore\data\computercraft\lua\rom\programs\about.lua", "Lua", 0, 4, 0, 1, 3, 8
"d:\Projects\Lua\LeonCore\LeonCore\data\computercraft\lua\rom\programs\alias.lua", "Lua", 0, 29, 0, 5, 13, 47
"d:\Projects\Lua\LeonCore\LeonCore\data\computercraft\lua\rom\programs\app.lua", "Lua", 0, 37, 0, 7, 9, 53
"d:\Projects\Lua\LeonCore\LeonCore\data\computercraft\lua\rom\programs\appdelete.lua", "Lua", 0, 90, 0, 15, 16, 121
"d:\Projects\Lua\LeonCore\LeonCore\data\computercraft\lua\rom\programs\applist.lua", "Lua", 0, 55, 0, 8, 13, 76
"d:\Projects\Lua\LeonCore\LeonCore\data\computercraft\lua\rom\programs\bg.lua", "Lua", 0, 13, 0, 1, 6, 20
"d:\Projects\Lua\LeonCore\LeonCore\data\computercraft\lua\rom\programs\calc.lua", "Lua", 0, 54, 0, 19, 16, 89
"d:\Projects\Lua\LeonCore\LeonCore\data\computercraft\lua\rom\programs\clear.lua", "Lua", 0, 14, 0, 5, 5, 24
"d:\Projects\Lua\LeonCore\LeonCore\data\computercraft\lua\rom\programs\commands.lua", "Lua", 0, 47, 0, 8, 9, 64
"d:\Projects\Lua\LeonCore\LeonCore\data\computercraft\lua\rom\programs\config.lua", "Lua", 0, 224, 0, 17, 32, 273
"d:\Projects\Lua\LeonCore\LeonCore\data\computercraft\lua\rom\programs\copy.lua", "Lua", 0, 30, 0, 0, 7, 37
"d:\Projects\Lua\LeonCore\LeonCore\data\computercraft\lua\rom\programs\craftos.lua", "Lua", 0, 43, 0, 1, 15, 59
"d:\Projects\Lua\LeonCore\LeonCore\data\computercraft\lua\rom\programs\delete.lua", "Lua", 0, 21, 0, 0, 4, 25
"d:\Projects\Lua\LeonCore\LeonCore\data\computercraft\lua\rom\programs\devbin.lua", "Lua", 0, 69, 0, 2, 19, 90
"d:\Projects\Lua\LeonCore\LeonCore\data\computercraft\lua\rom\programs\edit.lua", "Lua", 0, 18, 0, 5, 7, 30
"d:\Projects\Lua\LeonCore\LeonCore\data\computercraft\lua\rom\programs\fg.lua", "Lua", 0, 13, 0, 1, 6, 20
"d:\Projects\Lua\LeonCore\LeonCore\data\computercraft\lua\rom\programs\find.lua", "Lua", 0, 156, 0, 19, 24, 199
"d:\Projects\Lua\LeonCore\LeonCore\data\computercraft\lua\rom\programs\help.lua", "Lua", 0, 27, 0, 8, 10, 45
"d:\Projects\Lua\LeonCore\LeonCore\data\computercraft\lua\rom\programs\helplist.lua", "Lua", 0, 47, 0, 8, 8, 63
"d:\Projects\Lua\LeonCore\LeonCore\data\computercraft\lua\rom\programs\history.lua", "Lua", 0, 93, 0, 12, 6, 111
